iter	Passed	Remaining
0	0	81
1	1	83
2	2	83
3	3	78
4	4	82
5	5	82
6	6	80
7	6	79
8	7	79
9	8	76
10	9	75
11	10	73
12	10	73
13	11	71
14	12	71
15	13	72
16	14	71
17	15	70
18	16	70
19	17	69
20	19	71
21	20	71
22	21	70
23	21	69
24	22	68
25	23	68
26	24	67
27	25	66
28	26	65
29	27	64
30	28	63
31	29	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	35	54
39	35	53
40	36	52
41	37	51
42	38	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	43	44
49	43	43
50	44	42
51	45	42
52	46	41
53	47	40
54	47	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	52	33
61	53	32
62	54	32
63	55	31
64	56	30
65	57	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	24
71	62	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	66	18
78	67	17
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	82	3
96	83	2
97	84	1
98	85	0
99	86	0
