iter	Passed	Remaining
0	113	113241
1	114	56926
2	114	38109
3	115	28709
4	115	23074
5	116	19307
6	117	16634
7	117	14622
8	118	13061
9	119	11811
10	120	10795
11	120	9945
12	121	9222
13	122	8599
14	122	8059
15	123	7583
16	123	7169
17	124	6803
18	125	6472
19	126	6175
20	126	5913
21	127	5665
22	128	5442
23	128	5237
24	129	5047
25	130	4870
26	131	4730
27	132	4583
28	132	4443
29	133	4314
30	133	4188
31	134	4072
32	135	3963
33	135	3862
34	136	3764
35	137	3671
36	137	3587
37	138	3508
38	139	3432
39	139	3357
40	140	3287
41	141	3219
42	141	3154
43	142	3092
44	142	3031
45	143	2974
46	143	2919
47	144	2868
48	145	2821
49	146	2774
50	146	2732
51	147	2689
52	148	2648
53	148	2608
54	149	2573
55	150	2537
56	151	2502
57	151	2467
58	152	2433
59	153	2400
60	153	2369
61	154	2338
62	155	2310
63	156	2284
64	156	2257
65	157	2231
66	158	2206
67	159	2182
68	159	2158
69	160	2134
70	161	2111
71	162	2088
72	162	2067
73	163	2046
74	164	2024
75	164	2002
76	165	1982
77	166	1962
78	166	1943
79	167	1923
80	167	1905
81	168	1887
82	168	1866
83	169	1849
84	170	1833
85	170	1816
86	171	1801
87	172	1785
88	172	1770
89	173	1755
90	174	1739
91	174	1724
92	175	1709
93	175	1695
94	176	1682
95	177	1669
96	178	1657
97	178	1644
98	179	1632
99	180	1620
100	180	1608
101	181	1596
102	182	1585
103	182	1574
104	183	1563
105	184	1552
106	184	1543
107	185	1533
108	186	1523
109	186	1512
110	187	1501
111	188	1492
112	188	1482
113	189	1473
114	190	1464
115	191	1455
116	191	1446
117	192	1437
118	193	1429
119	193	1420
120	194	1412
121	195	1403
122	195	1395
123	196	1387
124	197	1379
125	197	1371
126	198	1362
127	198	1354
128	199	1347
129	200	1339
130	200	1332
131	201	1325
132	202	1318
133	202	1311
134	203	1304
135	204	1298
136	204	1291
137	205	1285
138	206	1279
139	207	1273
140	208	1268
141	208	1260
142	209	1254
143	209	1248
144	210	1243
145	211	1237
146	212	1231
147	212	1225
148	213	1221
149	214	1215
150	215	1210
151	215	1203
152	216	1198
153	217	1192
154	217	1186
155	218	1181
156	218	1175
157	219	1170
158	220	1166
159	221	1161
160	221	1155
161	222	1149
162	222	1145
163	223	1140
164	224	1134
165	224	1129
166	225	1124
167	226	1119
168	226	1115
169	227	1110
170	228	1105
171	228	1101
172	229	1096
173	229	1091
174	230	1086
175	231	1082
176	231	1077
177	232	1073
178	233	1069
179	233	1065
180	234	1060
181	235	1056
182	235	1052
183	236	1048
184	237	1044
185	237	1040
186	238	1036
187	239	1033
188	239	1029
189	240	1025
190	241	1022
191	241	1018
192	242	1014
193	243	1010
194	243	1006
195	244	1002
196	245	999
197	245	995
198	246	992
199	247	988
200	247	985
201	248	981
202	249	978
203	249	974
204	250	971
205	251	967
206	251	964
207	252	961
208	253	957
209	253	954
210	254	951
211	255	948
212	255	945
213	256	941
214	256	938
215	257	934
216	258	931
217	258	928
218	259	924
219	259	921
220	260	918
221	261	915
222	261	911
223	262	908
224	262	905
225	263	902
226	264	899
227	264	896
228	265	893
229	266	890
230	266	888
231	267	885
232	268	882
233	268	880
234	269	877
235	270	874
236	271	872
237	271	870
238	272	867
239	273	865
240	274	863
241	274	860
242	275	857
243	275	854
244	276	852
245	277	849
246	277	847
247	278	844
248	279	842
249	279	839
250	280	836
251	281	834
252	281	831
253	282	828
254	282	826
255	283	823
256	283	821
257	284	818
258	285	816
259	285	813
260	286	811
261	287	808
262	287	806
263	288	803
264	288	801
265	289	798
266	290	796
267	290	793
268	291	791
269	292	789
270	292	787
271	293	785
272	293	782
273	294	780
274	295	778
275	295	776
276	296	774
277	297	772
278	298	770
279	298	768
280	299	766
281	300	764
282	300	762
283	301	760
284	302	758
285	303	756
286	312	776
287	313	774
288	313	772
289	314	770
290	315	767
291	315	765
292	316	763
293	316	760
294	317	758
295	318	756
296	318	754
297	319	751
298	319	749
299	320	747
300	320	745
301	321	742
302	321	740
303	322	738
304	323	736
305	323	734
306	324	732
307	325	730
308	325	728
309	326	726
310	326	724
311	327	722
312	328	720
313	328	718
314	329	716
315	330	714
316	330	712
317	331	710
318	332	709
319	332	707
320	333	705
321	333	703
322	334	701
323	335	699
324	336	697
325	336	696
326	337	694
327	337	692
328	338	690
329	339	688
330	339	686
331	340	684
332	341	683
333	341	681
334	342	679
335	342	677
336	343	676
337	344	674
338	344	672
339	345	670
340	346	669
341	346	667
342	347	665
343	347	663
344	348	661
345	349	660
346	349	658
347	350	656
348	351	654
349	351	653
350	352	651
351	352	649
352	353	647
353	353	645
354	354	644
355	355	642
356	355	641
357	356	639
358	357	638
359	358	636
360	358	634
361	359	633
362	359	631
363	360	630
364	361	628
365	361	627
366	362	625
367	363	623
368	363	622
369	364	620
370	365	619
371	365	617
372	366	616
373	367	615
374	368	613
375	368	611
376	369	610
377	370	609
378	370	607
379	371	605
380	372	604
381	373	603
382	373	602
383	374	600
384	375	599
385	375	597
386	376	596
387	377	594
388	377	593
389	378	591
390	378	590
391	379	588
392	380	586
393	380	585
394	381	583
395	381	582
396	382	580
397	383	579
398	383	577
399	384	576
400	384	574
401	385	573
402	386	572
403	386	570
404	387	569
405	388	568
406	388	566
407	389	565
408	390	564
409	390	562
410	391	561
411	392	559
412	393	558
413	393	557
414	394	556
415	395	554
416	395	553
417	396	552
418	397	550
419	397	549
420	398	548
421	399	546
422	399	545
423	400	543
424	401	542
425	401	541
426	402	539
427	402	538
428	403	537
429	404	536
430	405	534
431	405	533
432	406	532
433	406	530
434	407	529
435	408	528
436	408	526
437	409	525
438	410	523
439	410	522
440	411	521
441	411	519
442	412	518
443	412	517
444	413	515
445	414	514
446	414	513
447	415	511
448	415	510
449	416	509
450	417	508
451	418	507
452	419	506
453	419	504
454	420	503
455	421	502
456	421	501
457	422	499
458	423	498
459	423	497
460	424	496
461	425	495
462	426	494
463	426	493
464	427	492
465	428	490
466	429	489
467	429	488
468	430	487
469	431	486
470	431	484
471	432	483
472	433	482
473	433	481
474	434	480
475	435	478
476	435	477
477	436	476
478	436	475
479	437	473
480	437	472
481	438	471
482	439	470
483	439	468
484	440	467
485	441	466
486	441	465
487	442	463
488	442	462
489	443	461
490	443	460
491	444	459
492	445	457
493	445	456
494	446	455
495	447	454
496	448	453
497	448	452
498	449	451
499	450	450
500	450	449
501	451	448
502	452	446
503	453	445
504	453	444
505	454	443
506	455	442
507	455	441
508	456	440
509	456	439
510	457	438
511	458	436
512	459	435
513	459	434
514	460	433
515	461	432
516	461	431
517	462	430
518	463	429
519	463	428
520	464	426
521	465	425
522	465	424
523	466	423
524	466	422
525	467	421
526	467	419
527	468	418
528	468	417
529	469	416
530	470	415
531	470	414
532	471	412
533	471	411
534	472	410
535	472	409
536	473	408
537	474	407
538	474	405
539	475	404
540	476	403
541	476	402
542	477	401
543	478	400
544	478	399
545	479	398
546	480	397
547	480	396
548	481	395
549	481	394
550	482	393
551	482	391
552	483	390
553	484	389
554	484	388
555	485	387
556	486	386
557	486	385
558	487	384
559	487	383
560	488	382
561	488	381
562	489	379
563	490	378
564	490	377
565	491	376
566	492	375
567	492	374
568	493	373
569	493	372
570	494	371
571	495	370
572	495	369
573	496	368
574	496	367
575	497	366
576	498	365
577	498	364
578	499	363
579	499	361
580	500	360
581	500	359
582	501	358
583	502	357
